chrom	length	bases	mean	min	max
chrUn_KI270746v1	66486	2714153	40.82	1	92
chrUn_KI270747v1	198735	2241824	11.28	0	29
chrUn_KI270748v1	93321	1521895	16.31	0	39
chrUn_KI270749v1	158759	3583945	22.57	0	44
chrUn_KI270750v1	148850	3409983	22.91	0	44
chrUn_KI270751v1	150742	7202586	47.78	0	120
chrUn_KI270753v1	62944	1421320	22.58	0	54
chrUn_KI270754v1	40191	1966668	48.93	0	119
chrUn_KI270755v1	36723	267864	7.29	0	14
chrUn_KI270756v1	79590	1726997	21.70	1	65
chrUn_KI270757v1	71251	3565041	50.03	0	142
chrUn_GL000214v1	137718	5707586	41.44	1	135
chrUn_KI270742v1	186739	7999763	42.84	4	109
chrUn_GL000216v2	176608	20260855	114.72	3	572
chrUn_GL000218v1	161147	7872167	48.85	7	68
chrEBV	171823	137866178	802.37	0	1360
total	3099550994	44520051736	14.36	0	14655
